"filename", "language", "C++", "comment", "blank", "total"
"/Users/shiyu./Desktop/CP-Code/ZeroJudge/e339.cpp", "C++", -1, 19, 2, 20
"/Users/shiyu./Desktop/CP-Code/ZeroJudge/e447.cpp", "C++", 22, 0, 3, 25
"/Users/shiyu./Desktop/CP-Code/ZeroJudge/e575.cpp", "C++", 40, 1, 4, 45
"/Users/shiyu./Desktop/CP-Code/ZeroJudge/f345.cpp", "C++", 11, 0, 2, 13
"/Users/shiyu./Desktop/CP-Code/ZeroJudge/i213.cpp", "C++", 22, 0, 1, 23
"/Users/shiyu./Desktop/CP-Code/ZeroJudge/j057.cpp", "C++", 22, 1, 2, 25
"/Users/shiyu./Desktop/CP-Code/ZeroJudge/n130.cpp", "C++", 30, 2, 3, 35
"/Users/shiyu./Desktop/CP-Code/ZeroJudge/n369.cpp", "C++", 18, 0, 1, 19
"/Users/shiyu./Desktop/CP-Code/test-p.cpp", "C++", 20, 0, 2, 22
"/Users/shiyu./Desktop/CP-Code/test.cpp", "C++", -19, 0, 1, -18
"/Users/shiyu./Desktop/CP-Code/zz Func Template/fpow.cpp", "C++", 0, 12, 1, 13
"Total", "-", 2315, 348, 219, 2882
