"filename", "language", "C++", "LaTeX", "Python", "comment", "blank", "total"
"/Users/shiyu./Desktop/CP-Code/IONC/D3/pG.cpp", "C++", 68, 0, 0, 1, 16, 85
"/Users/shiyu./Desktop/CP-Code/IONC/D3/pJ.cpp", "C++", 35, 0, 0, 4, 5, 44
"/Users/shiyu./Desktop/CP-Code/IONC/D4/pC+.cpp", "C++", 35, 0, 0, 7, 7, 49
"/Users/shiyu./Desktop/CP-Code/IONC/D4/pJ.cpp", "C++", 28, 0, 0, 0, 1, 29
"/Users/shiyu./Desktop/CP-Code/IONC/D4/pN++.cpp", "C++", 50, 0, 0, 10, 7, 67
"/Users/shiyu./Desktop/CP-Code/IONC/D4/pN+.cpp", "C++", 43, 0, 0, 2, 3, 48
"/Users/shiyu./Desktop/CP-Code/IONC/D4/pN.cpp", "C++", 48, 0, 0, 1, 3, 52
"/Users/shiyu./Desktop/CP-Code/ITSA/2023-10/pA.cpp", "C++", 38, 0, 0, 1, 1, 40
"/Users/shiyu./Desktop/CP-Code/Kattis/Basic/(unAC)Battle Simulation.cpp", "C++", 31, 0, 0, 0, 2, 33
"/Users/shiyu./Desktop/CP-Code/Kattis/Basic/(unAC)ImageProseccing.cpp", "C++", 16, 0, 0, 0, 3, 19
"/Users/shiyu./Desktop/CP-Code/Kattis/Basic/(undone)Pea Soup and Pancakes.cpp", "C++", 40, 0, 0, 3, 1, 44
"/Users/shiyu./Desktop/CP-Code/Kattis/Basic/Ameriskur vinnustour.cpp", "C++", 8, 0, 0, 0, 1, 9
"/Users/shiyu./Desktop/CP-Code/Kattis/Basic/Apaxiaaaaaaaaaaaans!.cpp", "C++", 25, 0, 0, 0, 2, 27
"/Users/shiyu./Desktop/CP-Code/Kattis/Basic/Architecture.cpp", "C++", 17, 0, 0, 0, 2, 19
"/Users/shiyu./Desktop/CP-Code/Kattis/Basic/Arm Coordination.cpp", "C++", 10, 0, 0, 0, 1, 11
"/Users/shiyu./Desktop/CP-Code/Kattis/Basic/Autori.cpp", "C++", 12, 0, 0, 0, 1, 13
"/Users/shiyu./Desktop/CP-Code/Kattis/Basic/Average Character.cpp", "C++", 10, 0, 0, 1, 0, 11
"/Users/shiyu./Desktop/CP-Code/Kattis/Basic/Baby Bites.cpp", "C++", 34, 0, 0, 0, 2, 36
"/Users/shiyu./Desktop/CP-Code/Kattis/Basic/Basketball one on one.cpp", "C++", 23, 0, 0, 0, 1, 24
"/Users/shiyu./Desktop/CP-Code/Kattis/Basic/Booking a Room.cpp", "C++", 32, 0, 0, 1, 1, 34
"/Users/shiyu./Desktop/CP-Code/Kattis/Basic/Broken Calculator.cpp", "C++", 21, 0, 0, 0, 1, 22
"/Users/shiyu./Desktop/CP-Code/Kattis/Basic/Building Pyramids.cpp", "C++", 14, 0, 0, 0, 1, 15
"/Users/shiyu./Desktop/CP-Code/Kattis/Basic/Bus Numbers2.cpp", "C++", 27, 0, 0, 0, 2, 29
"/Users/shiyu./Desktop/CP-Code/Kattis/Basic/Canadians, eh?.cpp", "C++", 20, 0, 0, 0, 2, 22
"/Users/shiyu./Desktop/CP-Code/Kattis/Basic/Card Trick.cpp", "C++", 35, 0, 0, 0, 1, 36
"/Users/shiyu./Desktop/CP-Code/Kattis/Basic/Cetvrta.cpp", "C++", 14, 0, 0, 0, 3, 17
"/Users/shiyu./Desktop/CP-Code/Kattis/Basic/Checkboard.cpp", "C++", 69, 0, 0, 42, 10, 121
"/Users/shiyu./Desktop/CP-Code/Kattis/Basic/Cinema Crowds 2.cpp", "C++", 14, 0, 0, 0, 1, 15
"/Users/shiyu./Desktop/CP-Code/Kattis/Basic/Cinema Crowds.cpp", "C++", 17, 0, 0, 0, 1, 18
"/Users/shiyu./Desktop/CP-Code/Kattis/Basic/Climbing worm.cpp", "C++", 15, 0, 0, 0, 1, 16
"/Users/shiyu./Desktop/CP-Code/Kattis/Basic/Cooking Water.cpp", "C++", 25, 0, 0, 0, 2, 27
"/Users/shiyu./Desktop/CP-Code/Kattis/Basic/Count the Vowels.cpp", "C++", 29, 0, 0, 0, 2, 31
"/Users/shiyu./Desktop/CP-Code/Kattis/Basic/Crne.cpp", "C++", 8, 0, 0, 0, 1, 9
"/Users/shiyu./Desktop/CP-Code/Kattis/Basic/Detailed Differences.cpp", "C++", 19, 0, 0, 0, 1, 20
"/Users/shiyu./Desktop/CP-Code/Kattis/Basic/Digit product.cpp", "C++", 20, 0, 0, 0, 1, 21
"/Users/shiyu./Desktop/CP-Code/Kattis/Basic/Distributing Poffins.cpp", "C++", 7, 0, 0, 0, 1, 8
"/Users/shiyu./Desktop/CP-Code/Kattis/Basic/Double Password.cpp", "C++", 12, 0, 0, 0, 1, 13
"/Users/shiyu./Desktop/CP-Code/Kattis/Basic/Early Winter.cpp", "C++", 18, 0, 0, 0, 1, 19
"/Users/shiyu./Desktop/CP-Code/Kattis/Basic/Echo Echo Echo.cpp", "C++", 8, 0, 0, 0, 1, 9
"/Users/shiyu./Desktop/CP-Code/Kattis/Basic/Espresso!.cpp", "C++", 34, 0, 0, 0, 2, 36
"/Users/shiyu./Desktop/CP-Code/Kattis/Basic/Event Planning.cpp", "C++", 27, 0, 0, 0, 4, 31
"/Users/shiyu./Desktop/CP-Code/Kattis/Basic/Eye of Sauron.cpp", "C++", 38, 0, 0, 0, 2, 40
"/Users/shiyu./Desktop/CP-Code/Kattis/Basic/FYI.cpp", "C++", 7, 0, 0, 0, 1, 8
"/Users/shiyu./Desktop/CP-Code/Kattis/Basic/Field Trip-1.cpp", "C++", 30, 0, 0, 1, 1, 32
"/Users/shiyu./Desktop/CP-Code/Kattis/Basic/Field Trip.cpp", "C++", 39, 0, 0, 0, 2, 41
"/Users/shiyu./Desktop/CP-Code/Kattis/Basic/Fifty shades of pink.cpp", "C++", 33, 0, 0, 0, 1, 34
"/Users/shiyu./Desktop/CP-Code/Kattis/Basic/FizzBuzz.cpp", "C++", 15, 0, 0, 0, 1, 16
"/Users/shiyu./Desktop/CP-Code/Kattis/Basic/FizzBuzz2.cpp", "C++", 44, 0, 0, 0, 2, 46
"/Users/shiyu./Desktop/CP-Code/Kattis/Basic/Flexible spaces.cpp", "C++", 26, 0, 0, 4, 1, 31
"/Users/shiyu./Desktop/CP-Code/Kattis/Basic/Flip Flow.cpp", "C++", 31, 0, 0, 0, 1, 32
"/Users/shiyu./Desktop/CP-Code/Kattis/Basic/Flow Layout.cpp", "C++", 34, 0, 0, 0, 1, 35
"/Users/shiyu./Desktop/CP-Code/Kattis/Basic/Forced Choice.cpp", "C++", 23, 0, 0, 0, 1, 24
"/Users/shiyu./Desktop/CP-Code/Kattis/Basic/Free food.cpp", "C++", 18, 0, 0, 0, 1, 19
"/Users/shiyu./Desktop/CP-Code/Kattis/Basic/Greedily Increasing Subsequence.cpp", "C++", 21, 0, 0, 0, 1, 22
"/Users/shiyu./Desktop/CP-Code/Kattis/Basic/Hailstones.cpp", "C++", 14, 0, 0, 0, 1, 15
"/Users/shiyu./Desktop/CP-Code/Kattis/Basic/Hangman.cpp", "C++", 35, 0, 0, 0, 2, 37
"/Users/shiyu./Desktop/CP-Code/Kattis/Basic/Head Guard.cpp", "C++", 34, 0, 0, 0, 2, 36
"/Users/shiyu./Desktop/CP-Code/Kattis/Basic/Hello World!.cpp", "C++", 6, 0, 0, 0, 1, 7
"/Users/shiyu./Desktop/CP-Code/Kattis/Basic/Hidden Password.cpp", "C++", 36, 0, 0, 0, 2, 38
"/Users/shiyu./Desktop/CP-Code/Kattis/Basic/Hissing Microphone.cpp", "C++", 16, 0, 0, 0, 1, 17
"/Users/shiyu./Desktop/CP-Code/Kattis/Basic/Honour thy parent.cpp", "C++", 20, 0, 0, 0, 1, 21
"/Users/shiyu./Desktop/CP-Code/Kattis/Basic/I've Been Everywhere, Man.cpp", "C++", 31, 0, 0, 0, 1, 32
"/Users/shiyu./Desktop/CP-Code/Kattis/Basic/Job expenses.cpp", "C++", 16, 0, 0, 0, 1, 17
"/Users/shiyu./Desktop/CP-Code/Kattis/Basic/Jolly jumpers.cpp", "C++", 33, 0, 0, 0, 1, 34
"/Users/shiyu./Desktop/CP-Code/Kattis/Basic/Jumbo javelin.cpp", "C++", 15, 0, 0, 0, 1, 16
"/Users/shiyu./Desktop/CP-Code/Kattis/Basic/Kemija.cpp", "C++", 31, 0, 0, 2, 1, 34
"/Users/shiyu./Desktop/CP-Code/Kattis/Basic/Last factorial digit.cpp", "C++", 14, 0, 0, 0, 1, 15
"/Users/shiyu./Desktop/CP-Code/Kattis/Basic/License to launch.cpp", "C++", 18, 0, 0, 0, 1, 19
"/Users/shiyu./Desktop/CP-Code/Kattis/Basic/Linden Mayor System.cpp", "C++", 39, 0, 0, 0, 2, 41
"/Users/shiyu./Desktop/CP-Code/Kattis/Basic/Line them up.cpp", "C++", 27, 0, 0, 0, 3, 30
"/Users/shiyu./Desktop/CP-Code/Kattis/Basic/Longest Prime Sum.cpp", "C++", 7, 0, 0, 0, 1, 8
"/Users/shiyu./Desktop/CP-Code/Kattis/Basic/Lost lineup.cpp", "C++", 14, 0, 0, 0, 1, 15
"/Users/shiyu./Desktop/CP-Code/Kattis/Basic/Magic Trick.cpp", "C++", 31, 0, 0, 0, 2, 33
"/Users/shiyu./Desktop/CP-Code/Kattis/Basic/Making A Meowth.cpp", "C++", 24, 0, 0, 0, 1, 25
"/Users/shiyu./Desktop/CP-Code/Kattis/Basic/Math homework.cpp", "C++", 25, 0, 0, 0, 1, 26
"/Users/shiyu./Desktop/CP-Code/Kattis/Basic/Moderate Pace.cpp", "C++", 25, 0, 0, 0, 1, 26
"/Users/shiyu./Desktop/CP-Code/Kattis/Basic/Mult!.cpp", "C++", 22, 0, 0, 0, 2, 24
"/Users/shiyu./Desktop/CP-Code/Kattis/Basic/No Duplicates.cpp", "C++", 28, 0, 0, 0, 1, 29
"/Users/shiyu./Desktop/CP-Code/Kattis/Basic/Odd Gnome.cpp", "C++", 25, 0, 0, 0, 1, 26
"/Users/shiyu./Desktop/CP-Code/Kattis/Basic/Overdraft.cpp", "C++", 18, 0, 0, 0, 1, 19
"/Users/shiyu./Desktop/CP-Code/Kattis/Basic/Paradox with averages.cpp", "C++", 32, 0, 0, 0, 3, 35
"/Users/shiyu./Desktop/CP-Code/Kattis/Basic/Permutation encryption.cpp", "C++", 29, 0, 0, 0, 1, 30
"/Users/shiyu./Desktop/CP-Code/Kattis/Basic/Pet.cpp", "C++", 17, 0, 0, 0, 1, 18
"/Users/shiyu./Desktop/CP-Code/Kattis/Basic/Poker hand.cpp", "C++", 24, 0, 0, 0, 1, 25
"/Users/shiyu./Desktop/CP-Code/Kattis/Basic/Polynomial Multiplication 1.cpp", "C++", 40, 0, 0, 0, 2, 42
"/Users/shiyu./Desktop/CP-Code/Kattis/Basic/Popular Vote.cpp", "C++", 31, 0, 0, 0, 1, 32
"/Users/shiyu./Desktop/CP-Code/Kattis/Basic/Prerequisites?.cpp", "C++", 51, 0, 0, 0, 3, 54
"/Users/shiyu./Desktop/CP-Code/Kattis/Basic/Prva.cpp", "C++", 42, 0, 0, 0, 1, 43
"/Users/shiyu./Desktop/CP-Code/Kattis/Basic/Putovanje.cpp", "C++", 27, 0, 0, 0, 1, 28
"/Users/shiyu./Desktop/CP-Code/Kattis/Basic/Quadrant Selection.cpp", "C++", 17, 0, 0, 0, 1, 18
"/Users/shiyu./Desktop/CP-Code/Kattis/Basic/Quick Brown Fox.cpp", "C++", 43, 0, 0, 0, 4, 47
"/Users/shiyu./Desktop/CP-Code/Kattis/Basic/Quick Estimates.cpp", "C++", 13, 0, 0, 1, 1, 15
"/Users/shiyu./Desktop/CP-Code/Kattis/Basic/Quite a problem.cpp", "C++", 25, 0, 0, 1, 1, 27
"/Users/shiyu./Desktop/CP-Code/Kattis/Basic/Ragged right.cpp", "C++", 19, 0, 0, 1, 1, 21
"/Users/shiyu./Desktop/CP-Code/Kattis/Basic/Reduced ID numbers.cpp", "C++", 35, 0, 0, 1, 1, 37
"/Users/shiyu./Desktop/CP-Code/Kattis/Basic/Relocation.cpp", "C++", 27, 0, 0, 0, 2, 29
"/Users/shiyu./Desktop/CP-Code/Kattis/Basic/Reverse.cpp", "C++", 10, 0, 0, 0, 1, 11
"/Users/shiyu./Desktop/CP-Code/Kattis/Basic/SMIL.cpp", "C++", 35, 0, 0, 0, 2, 37
"/Users/shiyu./Desktop/CP-Code/Kattis/Basic/Saving Princess Peach.cpp", "C++", 30, 0, 0, 0, 2, 32
"/Users/shiyu./Desktop/CP-Code/Kattis/Basic/SavingForRetirement.cpp", "C++", 7, 0, 0, 0, 1, 8
